erlang index: 23, erlang: 24000, general blocking: 0, BBP: 0, Total current utilization: 0.201164, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2234, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 24, erlang: 25000, general blocking: 0, BBP: 0, Total current utilization: 0.209221, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2234, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 25, erlang: 26000, general blocking: 6.99993e-05, BBP: 0.000219237, Total current utilization: 0.216862, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2234, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 26, erlang: 27000, general blocking: 0.000249998, BBP: 0.00078299, Total current utilization: 0.224701, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2234, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 27, erlang: 28000, general blocking: 0.000419996, BBP: 0.00131542, Total current utilization: 0.23017, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 28, erlang: 29000, general blocking: 0.000539995, BBP: 0.00169126, Total current utilization: 0.237489, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 29, erlang: 30000, general blocking: 0.00107999, BBP: 0.00338252, Total current utilization: 0.243108, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 30, erlang: 31000, general blocking: 0.00121999, BBP: 0.00382099, Total current utilization: 0.248954, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 31, erlang: 32000, general blocking: 0.00151998, BBP: 0.00476058, Total current utilization: 0.25432, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
erlang index: 32, erlang: 33000, general blocking: 0.00210998, BBP: 0.00660844, Total current utilization: 0.262083, Blocked by XT: 0, Ruta mas larga: 774, Max XT for modulation 16QAM: -25.2052, Max XT for modulation 8QAM: -24.8958, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -99
