erlang index: 22, erlang: 23000, general blocking: 0, BBP: 0, Total current utilization: 0.178495, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -31.47, Max XT for modulation 8QAM: -32.7932, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -31.47
erlang index: 23, erlang: 24000, general blocking: 0, BBP: 0, Total current utilization: 0.184563, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -27.8786, Max XT for modulation 8QAM: -27.3521, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -29.3714
erlang index: 24, erlang: 25000, general blocking: 0, BBP: 0, Total current utilization: 0.192277, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -27.8786, Max XT for modulation 8QAM: -26.8521, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -25.3914
erlang index: 25, erlang: 26000, general blocking: 0, BBP: 0, Total current utilization: 0.199285, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.9299
erlang index: 26, erlang: 27000, general blocking: 0, BBP: 0, Total current utilization: 0.206255, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.9299
erlang index: 27, erlang: 28000, general blocking: 0, BBP: 0, Total current utilization: 0.212943, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.9299
erlang index: 28, erlang: 29000, general blocking: 0, BBP: 0, Total current utilization: 0.218859, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.9299
erlang index: 29, erlang: 30000, general blocking: 0, BBP: 0, Total current utilization: 0.225428, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.9299
erlang index: 30, erlang: 31000, general blocking: 0, BBP: 0, Total current utilization: 0.233294, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.9299, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3996
erlang index: 31, erlang: 32000, general blocking: 0, BBP: 0, Total current utilization: 0.239596, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3996
erlang index: 32, erlang: 33000, general blocking: 0, BBP: 0, Total current utilization: 0.24547, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3996
erlang index: 33, erlang: 34000, general blocking: 0, BBP: 0, Total current utilization: 0.251834, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3996
erlang index: 34, erlang: 35000, general blocking: 0, BBP: 0, Total current utilization: 0.258064, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3996
erlang index: 35, erlang: 36000, general blocking: 0, BBP: 0, Total current utilization: 0.265566, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3996
erlang index: 36, erlang: 37000, general blocking: 0, BBP: 0, Total current utilization: 0.270695, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3996
erlang index: 37, erlang: 38000, general blocking: 0, BBP: 0, Total current utilization: 0.27773, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3996
erlang index: 38, erlang: 39000, general blocking: 0, BBP: 0, Total current utilization: 0.283528, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3996
erlang index: 39, erlang: 40000, general blocking: 0, BBP: 0, Total current utilization: 0.289029, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.3906, Max XT for modulation 8QAM: -23.3996, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3009
erlang index: 40, erlang: 41000, general blocking: 0, BBP: 0, Total current utilization: 0.29515, Blocked by XT: 0, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.2801, Max XT for modulation 8QAM: -23.3009, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3009
erlang index: 41, erlang: 42000, general blocking: 2.99997e-05, BBP: 9.39588e-05, Total current utilization: 0.30089, Blocked by XT: 2, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.1715, Max XT for modulation 8QAM: -23.3009, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3009
erlang index: 42, erlang: 43000, general blocking: 0.000479995, BBP: 0.00150334, Total current utilization: 0.304524, Blocked by XT: 26, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.1715, Max XT for modulation 8QAM: -23.3009, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3009
erlang index: 43, erlang: 44000, general blocking: 0.000869991, BBP: 0.00272481, Total current utilization: 0.309527, Blocked by XT: 20, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.0859, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.3009
erlang index: 44, erlang: 45000, general blocking: 0.00173998, BBP: 0.00544961, Total current utilization: 0.313756, Blocked by XT: 41, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 45, erlang: 46000, general blocking: 0.00203998, BBP: 0.0063892, Total current utilization: 0.31708, Blocked by XT: 56, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 46, erlang: 47000, general blocking: 0.00316997, BBP: 0.00992831, Total current utilization: 0.321847, Blocked by XT: 82, Ruta mas larga: 1201, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 47, erlang: 48000, general blocking: 0.00412996, BBP: 0.012935, Total current utilization: 0.3251, Blocked by XT: 97, Ruta mas larga: 1263, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 48, erlang: 49000, general blocking: 0.00475995, BBP: 0.0149081, Total current utilization: 0.328982, Blocked by XT: 111, Ruta mas larga: 1263, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 49, erlang: 50000, general blocking: 0.00544995, BBP: 0.0170692, Total current utilization: 0.331718, Blocked by XT: 110, Ruta mas larga: 1263, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
erlang index: 50, erlang: 51000, general blocking: 0.00686993, BBP: 0.0215166, Total current utilization: 0.335187, Blocked by XT: 127, Ruta mas larga: 1275, Max XT for modulation 16QAM: -25.0158, Max XT for modulation 8QAM: -22.974, Max XT for modulation BPSK: -99, Max XT for modulation QPSK: -23.2544
